Order,Lot Frontage,LotArea,LotShape,Utilities,Lot Config,Land Slope,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,YearBuilt,YearRemod/Add,Foundation,Bsmt Unf SF,Total Bsmt SF,BaseLivArea,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bathrooms,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,Sale Condition,SalePrice
4,93,11160,Reg,AllPub,Corner,Gtl,NAmes,1Fam,1Story,7,5,1968,1968,CBlock,1045,2110,1065,Y,2110,0,2110,2,1,2.5,3,1,Ex,8,2,Attchd,522,0,0,0,0,0,4,2010,Normal,244000
5,74,13830,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,5,5,1997,1998,PConc,137,928,791,Y,928,701,1629,2,1,2.5,3,1,TA,6,1,Attchd,482,212,34,0,0,0,3,2010,Normal,189900
6,78,9978,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,6,6,1998,1998,PConc,324,926,602,Y,926,678,1604,2,1,2.5,3,1,Gd,7,1,Attchd,470,360,36,0,0,0,6,2010,Normal,195500
10,60,7500,Reg,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,7,5,1999,1999,PConc,994,994,0,Y,1028,776,1804,2,1,2.5,3,1,Gd,7,1,Attchd,442,140,60,0,0,0,6,2010,Normal,189000
11,75,10000,IR1,AllPub,Corner,Gtl,Gilbert,1Fam,2Story,6,5,1993,1994,PConc,763,763,0,Y,763,892,1655,2,1,2.5,3,1,TA,7,1,Attchd,440,157,84,0,0,0,4,2010,Normal,175900
13,63,8402,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,6,5,1998,1998,PConc,789,789,0,Y,789,676,1465,2,1,2.5,3,1,TA,7,1,Attchd,393,0,75,0,0,0,5,2010,Normal,180400
14,85,10176,Reg,AllPub,Inside,Gtl,Gilbert,1Fam,1Story,7,5,1990,1990,PConc,663,1300,637,Y,1341,0,1341,1,1,1.5,2,1,Gd,5,1,Attchd,506,192,0,0,0,0,2,2010,Normal,171500
15,,6820,IR1,AllPub,Corner,Gtl,StoneBr,TwnhsE,1Story,8,5,1985,1985,PConc,0,1488,1488,Y,1502,0,1502,1,1,1.5,1,1,Gd,4,0,Attchd,528,0,54,0,0,140,6,2010,Normal,212000
16,47,53504,IR2,AllPub,CulDSac,Mod,StoneBr,1Fam,2Story,8,5,2003,2003,PConc,234,1650,1416,Y,1690,1589,3279,3,1,3.5,4,1,Ex,12,1,BuiltIn,841,503,36,0,0,210,6,2010,Normal,538000
18,88,11394,Reg,AllPub,Corner,Gtl,StoneBr,1Fam,1Story,9,2,2010,2010,PConc,411,1856,1445,Y,1856,0,1856,1,1,1.5,1,1,Ex,8,1,Attchd,834,113,0,0,0,0,6,2010,Partial,394432
23,,7500,Reg,AllPub,Inside,Gtl,Somerst,1Fam,2Story,7,5,2000,2000,PConc,281,814,533,Y,814,860,1674,2,1,2.5,3,1,Gd,7,0,Attchd,663,0,96,0,0,0,1,2010,Normal,216000
25,,12537,IR1,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,1971,2008,CBlock,344,1078,734,Y,1078,0,1078,1,1,1.5,3,1,TA,6,1,Attchd,500,0,0,0,0,0,4,2010,Normal,149900
30,21,1680,Reg,AllPub,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,1971,CBlock,327,483,156,Y,483,504,987,1,1,1.5,2,1,TA,5,0,Detchd,264,275,0,0,0,0,2,2010,Normal,96000
31,21,1680,Reg,AllPub,Inside,Gtl,BrDale,Twnhs,2Story,5,5,1971,1971,CBlock,225,525,300,Y,525,567,1092,1,1,1.5,3,1,TA,6,0,Detchd,320,0,0,0,0,0,3,2010,Normal,105500
32,21,1680,Reg,AllPub,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,1971,CBlock,525,525,0,Y,525,567,1092,1,1,1.5,3,1,TA,6,0,Detchd,264,0,0,0,0,0,3,2010,Family,88000
34,24,2280,Reg,AllPub,FR2,Gtl,NPkVill,Twnhs,2Story,6,6,1975,1975,CBlock,341,855,514,Y,855,601,1456,2,1,2.5,3,1,Gd,6,1,Attchd,440,173,0,0,0,0,6,2010,Normal,149900
36,24,2280,Reg,AllPub,Inside,Gtl,NPkVill,Twnhs,2Story,6,5,1978,1978,CBlock,544,855,311,Y,855,601,1456,2,1,2.5,3,1,TA,7,1,Attchd,440,26,0,0,0,0,7,2010,Normal,146000
37,102,12858,IR1,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2009,2010,PConc,1590,1590,0,Y,1627,707,2334,2,1,2.5,3,1,Ex,10,1,Attchd,751,144,133,0,0,0,1,2010,Partial,376162
39,83,10159,IR1,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,9,5,2009,2010,PConc,284,1930,1646,Y,1940,0,1940,2,1,2.5,3,1,Ex,8,1,Attchd,606,168,95,0,0,0,4,2010,Partial,395192
45,100,12919,IR1,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,9,5,2009,2010,PConc,142,2330,2188,Y,2364,0,2364,2,1,2.5,2,1,Ex,11,2,Attchd,820,0,67,0,0,0,3,2010,Partial,611657
47,110,14300,Reg,AllPub,Inside,Mod,NridgHt,1Fam,1Story,9,5,2003,2004,PConc,1473,2846,1373,Y,2696,0,2696,2,1,2.5,3,1,Ex,10,2,Attchd,958,220,150,0,0,0,6,2010,Normal,500000
48,105,13650,Reg,AllPub,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2002,2002,PConc,1093,1671,578,Y,1687,563,2250,2,1,2.5,3,1,Gd,7,1,Attchd,756,238,130,0,0,0,6,2010,Normal,320000
51,36,2628,Reg,AllPub,Inside,Gtl,NridgHt,Twnhs,2Story,7,5,2003,2003,PConc,764,764,0,Y,764,862,1626,2,1,2.5,2,1,Gd,6,0,BuiltIn,474,0,27,0,0,0,6,2010,Normal,175500
55,67,13300,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,SLvl,7,5,2004,2004,PConc,58,384,326,Y,744,630,1374,2,1,2.5,3,1,Gd,7,1,BuiltIn,400,100,0,0,0,0,6,2010,Normal,184500
56,,7851,Reg,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,6,5,2002,2002,PConc,235,860,625,Y,860,1100,1960,2,1,2.5,4,1,Gd,8,2,BuiltIn,440,288,48,0,0,0,5,2010,Normal,216500
57,63,8577,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,7,5,2004,2004,PConc,847,847,0,Y,847,886,1733,2,1,2.5,3,1,Gd,7,1,BuiltIn,433,144,48,0,0,0,4,2010,Normal,185088
58,,7750,IR1,AllPub,Inside,Gtl,Gilbert,1Fam,SLvl,7,5,2000,2000,PConc,134,384,250,Y,774,656,1430,2,1,2.5,3,1,TA,7,1,BuiltIn,400,180,0,0,0,0,4,2010,Normal,180000
59,,9505,IR1,AllPub,CulDSac,Gtl,Gilbert,1Fam,2Story,7,5,2001,2001,PConc,884,884,0,Y,884,1151,2035,2,1,2.5,3,1,Gd,8,1,BuiltIn,434,144,48,0,0,0,5,2010,Normal,222500
60,108,14774,IR1,AllPub,Corner,Gtl,NoRidge,1Fam,2Story,9,5,1999,1999,PConc,1393,1393,0,Y,1422,1177,2599,2,1,2.5,4,1,Gd,10,1,BuiltIn,779,668,30,0,0,0,5,2010,Normal,333168
61,60,17433,IR2,AllPub,CulDSac,Gtl,NoRidge,1Fam,2Story,8,5,1998,1998,PConc,1629,1629,0,Y,1645,830,2475,2,1,2.5,4,1,Gd,7,1,Attchd,962,23,172,0,0,256,1,2010,Normal,355000
63,98,12256,IR1,AllPub,Corner,Gtl,NoRidge,1Fam,2Story,8,5,1994,1995,PConc,431,1463,1032,Y,1500,1122,2622,2,1,2.5,3,1,Gd,9,2,Attchd,712,186,32,0,0,0,4,2010,Normal,325000
64,92,11764,IR1,AllPub,CulDSac,Gtl,NoRidge,1Fam,2Story,8,7,1999,2007,PConc,628,1152,524,Y,1164,1106,2270,2,1,2.5,4,1,Gd,9,1,Attchd,671,132,57,0,0,0,4,2010,Normal,290000
65,58,16770,IR2,AllPub,CulDSac,Gtl,NoRidge,1Fam,2Story,7,5,1998,1998,PConc,1195,1195,0,Y,1195,644,1839,2,1,2.5,4,1,TA,7,0,Attchd,486,0,81,0,0,0,6,2010,Normal,221000
66,56,14720,IR1,AllPub,CulDSac,Gtl,NoRidge,1Fam,1.5Fin,8,5,1995,1996,PConc,1217,2033,816,Y,2053,1185,3238,2,1,2.5,4,1,Gd,9,1,Attchd,666,283,86,0,0,0,3,2010,Normal,410000
69,72,8640,Reg,AllPub,Inside,Gtl,Somerst,1Fam,2Story,7,5,2009,2009,PConc,732,756,24,Y,764,783,1547,2,1,2.5,3,1,Gd,7,0,Attchd,614,169,45,0,0,0,6,2010,Normal,215200
71,100,12552,Reg,AllPub,Corner,Gtl,Somerst,1Fam,2Story,7,5,2004,2005,PConc,769,991,222,Y,991,956,1947,2,1,2.5,3,1,Gd,8,1,Attchd,678,0,136,0,0,0,5,2010,Normal,254900
73,76,10142,IR1,AllPub,Inside,Gtl,SawyerW,1Fam,2Story,7,5,2004,2004,PConc,300,956,656,Y,956,1128,2084,2,1,2.5,4,1,Gd,8,0,BuiltIn,618,0,45,0,0,0,1,2010,Normal,233000
74,70,11920,Reg,AllPub,Inside,Gtl,SawyerW,1Fam,2Story,7,5,2004,2004,PConc,831,831,0,Y,831,828,1659,2,1,2.5,3,1,Gd,8,0,Attchd,484,144,68,0,0,0,4,2010,Normal,181000
75,,8880,IR1,AllPub,Inside,Gtl,SawyerW,1Fam,2Story,7,5,1994,2002,PConc,253,948,695,Y,1222,888,2110,2,1,2.5,3,1,Gd,8,2,Attchd,463,0,130,0,0,0,5,2010,Normal,205000
77,70,11218,Reg,AllPub,Inside,Gtl,SawyerW,1Fam,2Story,6,5,1992,1992,PConc,1055,1055,0,Y,1055,790,1845,2,1,2.5,3,1,Gd,8,1,Attchd,462,635,104,0,0,0,5,2010,Normal,189000
80,,9453,IR1,AllPub,CulDSac,Gtl,SawyerW,1Fam,2Story,7,7,1993,2003,PConc,594,996,402,Y,1014,730,1744,2,1,2.5,3,1,Gd,7,0,Attchd,457,370,70,0,238,0,2,2010,Normal,194500
82,70,8400,Reg,AllPub,Inside,Gtl,SawyerW,1Fam,2Story,6,6,1980,1981,CBlock,650,650,0,Y,888,676,1564,2,1,2.5,3,1,TA,7,1,Attchd,476,0,50,0,0,204,4,2010,Normal,171000
88,75,7500,Reg,AllPub,Corner,Gtl,Sawyer,1Fam,1Story,5,5,1963,1963,CBlock,216,1040,824,Y,1040,0,1040,1,1,1.5,3,1,TA,5,0,Attchd,308,0,0,220,0,0,6,2010,Normal,133000
89,,6897,IR1,AllPub,Corner,Gtl,Sawyer,1Fam,1Story,5,8,1962,2010,CBlock,381,1040,659,Y,1040,0,1040,1,1,1.5,3,1,TA,6,0,Detchd,260,0,104,0,0,0,4,2010,Normal,127000
91,107,10186,IR1,AllPub,Inside,Gtl,NoRidge,1Fam,2Story,7,5,1992,1992,PConc,76,750,674,Y,1061,862,1923,2,1,2.5,3,1,Gd,8,1,Attchd,564,240,39,0,0,0,6,2010,Normal,190000
92,85,13143,IR1,AllPub,Inside,Gtl,NoRidge,1Fam,2Story,8,5,1993,1993,PConc,0,1231,1231,Y,1251,1098,2349,2,1,2.5,4,1,Gd,9,1,Attchd,762,32,130,0,0,0,6,2010,Normal,362500
93,88,11134,Reg,AllPub,Inside,Gtl,NoRidge,1Fam,2Story,8,5,1992,1993,PConc,261,1390,1129,Y,1402,823,2225,2,1,2.5,4,1,Gd,7,1,Attchd,713,198,30,0,0,0,6,2010,Normal,285000
95,39,3515,Reg,AllPub,Inside,Gtl,Somerst,TwnhsE,2Story,7,5,2004,2004,PConc,840,840,0,Y,840,840,1680,2,1,2.5,2,1,Gd,3,0,Attchd,588,0,111,0,0,0,1,2010,Normal,190000
96,30,3215,Reg,AllPub,Inside,Gtl,Somerst,TwnhsE,2Story,7,5,2004,2004,PConc,320,600,280,Y,600,600,1200,2,1,2.5,2,1,Gd,4,0,Detchd,480,0,172,0,0,0,4,2010,Normal,155000
97,30,3182,Reg,AllPub,Inside,Gtl,Somerst,TwnhsE,2Story,7,5,2004,2005,PConc,600,600,0,Y,600,600,1200,2,1,2.5,2,1,Gd,4,0,Detchd,480,0,172,0,0,0,6,2010,Normal,151000
98,24,2544,Reg,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,7,5,2004,2005,PConc,190,600,410,Y,600,600,1200,2,1,2.5,2,1,Gd,4,0,Detchd,480,0,172,0,0,0,2,2010,Normal,149500
99,24,2544,Reg,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,6,5,2005,2005,PConc,224,600,376,Y,600,636,1236,2,1,2.5,2,1,Gd,4,0,Detchd,480,0,166,0,0,0,5,2010,Normal,152000
100,,4403,IR2,AllPub,Inside,Gtl,Somerst,1Fam,1Story,7,5,2009,2009,PConc,892,1470,578,Y,1478,0,1478,2,1,2.5,2,1,Gd,7,1,Attchd,484,0,144,0,0,0,6,2010,Partial,222000
101,,2117,Reg,AllPub,Inside,Gtl,Somerst,Twnhs,2Story,6,5,2000,2000,PConc,378,756,378,Y,769,804,1573,2,1,2.5,3,1,Gd,5,0,Detchd,440,0,32,0,0,0,6,2010,Normal,177500
102,,2980,Reg,AllPub,Corner,Gtl,Somerst,TwnhsE,2Story,6,5,2000,2000,PConc,290,756,466,Y,756,756,1512,2,1,2.5,2,1,Gd,5,0,Detchd,440,0,32,0,0,0,5,2010,Normal,177000
103,24,2572,Reg,AllPub,FR2,Gtl,Somerst,Twnhs,2Story,7,5,1999,1999,PConc,92,696,604,Y,696,720,1416,2,1,2.5,3,1,Gd,6,0,Detchd,484,0,44,0,0,0,5,2010,Normal,155000
104,,2403,IR1,AllPub,FR2,Gtl,Somerst,TwnhsE,2Story,7,5,2003,2003,PConc,286,530,244,Y,530,550,1080,2,1,2.5,2,1,Gd,4,0,Attchd,496,0,50,0,0,0,6,2010,Normal,147110
105,57,12853,IR1,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8,5,2010,2010,PConc,610,1642,1032,Y,1418,0,1418,1,1,1.5,1,1,Gd,6,1,Attchd,852,160,192,0,224,0,4,2010,Partial,267916
106,68,7379,IR1,AllPub,Inside,Gtl,Somerst,1Fam,2Story,8,5,2000,2000,PConc,491,975,484,Y,975,873,1848,2,1,2.5,3,1,Gd,7,1,Attchd,592,280,184,0,0,0,4,2010,Normal,254000
109,,13517,IR1,AllPub,CulDSac,Gtl,Sawyer,1Fam,2Story,6,8,1976,2005,CBlock,192,725,533,Y,725,754,1479,2,1,2.5,3,1,Gd,6,0,Attchd,475,0,44,0,0,0,3,2010,Normal,130500
112,80,10791,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,6,5,1993,1993,PConc,143,1280,1137,Y,1280,1215,2495,2,1,2.5,4,1,Gd,9,1,Attchd,660,224,32,0,0,0,3,2010,Normal,243500
115,80,10421,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,7,5,1988,1988,CBlock,586,980,394,Y,980,734,1714,2,1,2.5,3,1,TA,7,1,Attchd,496,228,66,156,0,0,3,2010,Normal,196500
116,78,9360,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,6,7,1972,2006,CBlock,179,1161,982,Y,1381,0,1381,1,1,1.5,3,1,Gd,5,1,Attchd,676,0,0,0,0,0,3,2010,Normal,197500
118,80,9600,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1966,1966,CBlock,534,1232,698,Y,1232,0,1232,1,1,1.5,3,1,TA,6,0,Attchd,490,0,224,0,0,0,4,2010,Normal,142250
119,,9790,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,6,5,1963,1963,CBlock,678,1328,650,Y,1328,0,1328,1,1,1.5,3,1,TA,6,2,Attchd,528,0,26,0,0,0,6,2010,Normal,143000
120,77,9320,IR1,AllPub,Inside,Gtl,NAmes,1Fam,1Story,4,5,1959,1959,CBlock,381,950,569,Y,1225,0,1225,1,1,1.5,3,1,TA,6,0,NA,0,352,0,0,0,0,1,2010,Normal,128950
138,137,16492,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1966,2002,CBlock,557,1517,960,Y,1888,0,1888,2,1,2.5,2,1,Gd,6,1,Attchd,578,0,0,0,0,0,6,2010,Normal,190000
142,70,10552,IR1,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,CBlock,380,1398,1018,Y,1700,0,1700,1,1,1.5,4,1,Gd,6,1,Attchd,447,0,38,0,0,0,4,2010,Normal,165500
148,80,10032,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,5,1959,1959,CBlock,510,1244,734,Y,1580,0,1580,1,1,1.5,3,1,TA,6,2,Attchd,440,0,28,0,0,160,6,2010,Normal,159500
161,96,11275,Reg,AllPub,Corner,Gtl,NAmes,1Fam,SLvl,7,7,1967,2007,CBlock,710,710,0,Y,1898,1080,2978,2,1,2.5,5,1,Gd,11,1,BuiltIn,564,240,0,0,0,0,6,2010,Normal,242000
163,75,7500,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,7,1959,1994,CBlock,0,1246,1246,Y,1246,0,1246,1,1,1.5,3,1,Gd,6,0,Attchd,305,218,0,0,0,0,5,2010,Normal,154000
166,87,10000,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1962,1962,CBlock,1116,1116,0,Y,1116,0,1116,1,1,1.5,3,1,TA,5,0,Attchd,440,0,0,0,0,385,2,2010,Normal,160000
167,81,7635,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,5,6,1960,1960,CBlock,237,1175,938,Y,1175,0,1175,1,1,1.5,3,1,TA,6,0,Detchd,484,0,0,0,0,0,6,2010,Normal,148000
169,70,7700,Reg,AllPub,Inside,Gtl,NAmes,1Fam,2Story,6,5,1966,1966,CBlock,756,756,0,Y,1051,788,1839,1,1,1.5,4,1,TA,7,1,Attchd,442,0,124,216,0,0,6,2010,Normal,155000
191,60,10560,Reg,AllPub,Inside,Gtl,OldTown,1Fam,2Story,6,7,1922,1994,CBlock,455,738,283,Y,868,602,1470,1,1,1.5,2,1,TA,6,0,Detchd,624,0,0,0,0,0,6,2010,Normal,140750
192,53,5830,Reg,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Fin,5,6,1950,1997,CBlock,200,988,788,Y,1030,582,1612,1,1,1.5,3,1,TA,7,0,Detchd,363,0,0,0,0,0,3,2010,Normal,128500
193,,7793,IR1,AllPub,Corner,Gtl,BrkSide,1Fam,2.5Unf,7,7,1922,2005,BrkTil,634,1108,474,N,1160,908,2068,1,1,1.5,3,1,Gd,8,1,Detchd,315,0,0,60,0,0,5,2010,Normal,209500
196,50,6000,Reg,AllPub,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,6,1940,1950,CBlock,308,572,264,Y,848,348,1196,1,1,1.5,3,1,TA,6,2,Detchd,576,0,0,0,0,0,3,2010,Normal,128000
197,53,6360,Reg,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Fin,5,6,1942,1950,CBlock,316,835,519,Y,955,498,1453,1,1,1.5,3,1,Gd,7,2,Detchd,240,0,0,35,0,148,3,2010,Normal,132000
198,50,6000,Reg,AllPub,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,7,1948,1950,CBlock,480,780,300,Y,780,636,1416,1,1,1.5,3,1,TA,6,0,Detchd,312,221,0,48,0,0,3,2010,Normal,139900
203,57,8094,Reg,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,4,5,1915,1950,CBlock,888,888,0,Y,888,1074,1962,1,1,1.5,4,1,TA,9,1,Detchd,572,160,0,364,0,0,6,2010,Normal,149500
204,60,12900,Reg,AllPub,Inside,Gtl,OldTown,1Fam,2Story,6,8,1912,2009,PConc,780,780,0,Y,780,780,1560,1,1,1.5,3,1,Gd,7,0,NA,0,344,0,0,0,168,5,2010,Normal,159900
211,72,10632,IR1,AllPub,Inside,Gtl,ClearCr,1Fam,1.5Fin,5,3,1917,1950,BrkTil,689,689,0,N,725,499,1224,1,1,1.5,3,1,Po,6,0,Detchd,180,0,0,248,0,0,1,2010,Normal,107500
214,,6449,IR1,AllPub,Inside,Gtl,SWISU,1Fam,2Story,4,1,1907,1950,CBlock,634,707,73,N,942,942,1884,1,1,1.5,4,1,TA,7,0,NA,0,0,0,239,0,0,3,2010,Abnorml,93369
219,75,11625,Reg,AllPub,Inside,Gtl,Sawyer,2fmCon,1Story,5,4,1965,1965,PConc,198,1039,841,Y,1039,0,1039,1,1,1.5,3,1,TA,6,0,Attchd,504,0,0,0,0,0,4,2010,Normal,131500
